town,price,year
atlantic city,70000.0,2010.0
atlantic city,43259.0,2014.0
atlantic city,155000.0,2014.0
atlantic city,42000.0,nan
atlantic city,40000.0,2014.0
atlantic city,84900.0,2016.0
atlantic city,180000.0,2017.0
atlantic city,58500.0,2017.0
atlantic city,60000.0,2018.0
atlantic city,520000.0,2018.0
atlantic city,40000.0,nan
atlantic city,47000.0,2019.0
atlantic city,57000.0,nan
atlantic city,92500.0,2020.0
atlantic city,60000.0,2020.0
atlantic city,68000.0,2020.0
atlantic city,68000.0,2020.0
atlantic city,100000.0,2021.0
atlantic city,355000.0,2022.0
atlantic city,220000.0,2022.0
atlantic city,128500.0,2023.0
atlantic city,340000.0,2024.0
atlantic city,1570000.0,2023.0
atlantic city,1570000.0,2023.0
atlantic city,1570000.0,2023.0
atlantic city,1570000.0,2023.0
atlantic city,1570000.0,2023.0
atlantic city,1570000.0,nan
atlantic city,1570.0,2023.0
atlantic city,1570000.0,2023.0
atlantic city,30000.0,2023.0
atlantic city,220000.0,2024.0
brigantine city,358000.0,2012.0
brigantine city,574000.0,2019.0
brigantine city,1150000.0,2020.0
brigantine city,500000.0,nan
brigantine city,48000.0,nan
brigantine city,332000.0,2017.0
brigantine city,365000.0,2020.0
brigantine city,275000.0,2019.0
brigantine city,335000.0,nan
brigantine city,525000.0,2019.0
brigantine city,175000.0,2020.0
brigantine city,1275000.0,2020.0
brigantine city,960000.0,2021.0
brigantine city,527500.0,2021.0
brigantine city,910000.0,2021.0
brigantine city,1175000.0,2022.0
brigantine city,595000.0,2022.0
avalon,2300000.0,2017.0
avalon,460000.0,2024.0
avalon,587000.0,2024.0
cape may city,490000.0,2009.0
cape may city,189000.0,2012.0
cape may city,458000.0,2020.0
cape may city,755000.0,2016.0
cape may city,490000.0,2009.0
cape may city,100500.0,2020.0
cape may city,1610500.0,2021.0
cape may city,1595000.0,2022.0
ocean city,282500.0,nan
ocean city,191000.0,2017.0
ocean city,490000.0,2019.0
ocean city,650000.0,2021.0
ocean city,934500.0,2024.0
sea isle city,1100000.0,2014.0
barnegat light,775000.0,2017.0
barnegat light,850000.0,2017.0
barnegat light,550000.0,2017.0
barnegat light,1200000.0,2016.0
barnegat light,2500000.0,2019.0
barnegat light,1150000.0,2018.0
barnegat light,952500.0,2018.0
barnegat light,699000.0,2017.0
barnegat light,662500.0,2008.0
barnegat light,735500.0,2010.0
barnegat light,985000.0,2012.0
barnegat light,890000.0,2019.0
barnegat light,620000.0,2019.0
barnegat light,930000.0,2019.0
barnegat light,900000.0,2019.0
barnegat light,2400000.0,2019.0
barnegat light,988000.0,2019.0
barnegat light,690000.0,2014.0
barnegat light,889000.0,2014.0
barnegat light,475000.0,2014.0
barnegat light,1100000.0,2015.0
barnegat light,4600000.0,2019.0
barnegat light,750000.0,2016.0
barnegat light,525000.0,2016.0
barnegat light,2050000.0,2017.0
barnegat light,540500.0,2017.0
barnegat light,685000.0,2019.0
barnegat light,552800.0,2017.0
barnegat light,699000.0,2016.0
barnegat light,975000.0,2017.0
barnegat light,600500.0,2017.0
barnegat light,962500.0,2017.0
